company_name,high,low,last_price,prev_close,change,percent_gain
Hitachi Energy,"12,060.00","11,200.00","12,017.75","10,231.25","1,786.50",17.46
Netweb,"1,768.40","1,670.00","1,762.20","1,607.65",154.55,9.61
Jupiter Wagons,396.80,368.60,396.05,363.00,33.05,9.1
Archean Chem,593.50,563.25,592.60,547.65,44.95,8.21
HBL Eng,594.00,566.00,580.00,544.70,35.30,6.48
Solar Ind,"10,299.00","9,782.70","10,165.00","9,568.55",596.45,6.23
KPIT Tech,"1,479.00","1,410.65","1,452.05","1,370.05",82.00,5.99
Olectra Greente,"1,407.00","1,352.45","1,402.45","1,325.25",77.20,5.83
JBM Auto,"1,498.80","1,410.00","1,479.00","1,399.40",79.60,5.69
Laurus Labs,580.00,557.40,571.80,543.80,28.00,5.15
Suzlon Energy,55.40,55.40,55.40,52.77,2.63,4.98
Brigade Ent,"1,182.00","1,117.55","1,146.90","1,093.05",53.85,4.93
GE Vernova T&D,"1,722.30","1,643.50","1,722.30","1,641.35",80.95,4.93
Jubilant Ing.,717.15,685.30,716.45,685.30,31.15,4.55
TITAGARH,989.90,955.35,988.85,947.00,41.85,4.42
Ircon Internati,203.60,195.10,202.55,194.18,8.37,4.31
Ircon Internati,203.60,195.10,202.55,194.18,8.37,4.31
Granules India,558.00,539.90,557.40,534.80,22.60,4.23
JSW Energy,496.00,474.75,493.75,474.75,19.00,4
Railtel,388.60,373.85,387.80,373.25,14.55,3.9
Bajaj Finance,"8,250.65","7,850.00","8,060.95","7,759.65",301.30,3.88
KFin Tech,"1,139.00","1,097.00","1,129.05","1,087.05",42.00,3.86
Mahanagar Gas,"1,336.95","1,261.25","1,315.80","1,267.20",48.60,3.84
Ujjivan Small,35.30,33.75,35.25,33.97,1.28,3.77
Rashtriya Chem,162.45,157.00,162.04,156.24,5.80,3.71
Triveni Turbine,672.85,635.65,645.40,622.30,23.10,3.71
Garden Reach Sh,"1,594.80","1,536.95","1,593.15","1,537.30",55.85,3.63
IIFL Finance,361.10,347.05,360.45,347.90,12.55,3.61
Shyam Metalics,768.90,739.35,765.35,739.25,26.10,3.53
Godrej Prop,"2,316.75","2,230.50","2,314.55","2,237.55",77.00,3.44
NLC India,217.80,209.66,217.31,210.08,7.23,3.44
Rainbow Child,"1,454.00","1,393.05","1,449.05","1,401.45",47.60,3.4
Syrma SGS,554.75,510.85,522.10,505.10,17.00,3.37
Exide Ind,364.90,356.30,364.75,353.10,11.65,3.3
Rail Vikas,443.40,429.25,441.75,427.65,14.10,3.3
Fortis Health,651.15,627.00,649.25,628.55,20.70,3.29
Tejas Networks,915.00,882.75,914.60,886.10,28.50,3.22
Kirloskar Oil,891.05,865.20,891.05,863.65,27.40,3.17
Macrotech Dev,"1,172.75","1,133.00","1,171.20","1,135.50",35.70,3.14
G R Infra,"1,310.00","1,280.55","1,300.75","1,261.65",39.10,3.1
Bharat Dynamics,"1,271.00","1,229.05","1,266.30","1,229.45",36.85,3
Bharat Dynamics,"1,271.00","1,229.05","1,266.30","1,229.45",36.85,3
Inox Wind,168.39,158.65,166.34,161.50,4.84,3
Alembic Pharma,939.45,909.35,935.95,908.75,27.20,2.99
UPL,569.55,554.60,569.35,553.10,16.25,2.94
Power Finance,411.50,401.60,410.75,399.10,11.65,2.92
NCC,244.20,231.00,243.75,236.90,6.85,2.89
Fine Organics,"4,533.25","4,378.00","4,510.75","4,387.45",123.30,2.81
Godrej Ind,908.20,865.00,900.70,876.10,24.60,2.81
Newgen Software,"1,129.20","1,064.50","1,111.90","1,081.75",30.15,2.79
DLF,767.35,745.40,766.05,745.40,20.65,2.77
Vedant Fashions,"1,143.10","1,116.80","1,140.30","1,110.05",30.25,2.73
PTC Industries,"14,200.05","13,820.45","14,174.00","13,806.95",367.05,2.66
Schaeffler Ind,"3,264.50","3,155.55","3,259.80","3,176.70",83.10,2.62
Inox India,944.60,918.80,942.85,918.80,24.05,2.62
Fert and Chem,931.00,906.50,927.50,904.10,23.40,2.59
Hind Copper,234.59,228.60,234.33,228.42,5.91,2.59
Poly Medicure,"2,332.95","2,214.00","2,327.85","2,269.50",58.35,2.57
Cochin Shipyard,"1,478.80","1,431.10","1,471.95","1,435.25",36.70,2.56
Cochin Shipyard,"1,478.80","1,431.10","1,471.95","1,435.25",36.70,2.56
IRCTC,782.15,763.05,781.80,762.40,19.40,2.54
Grindwell Norto,"1,895.00","1,841.10","1,894.55","1,847.85",46.70,2.53
Apar Ind,"7,485.00","7,091.00","7,464.70","7,282.00",182.70,2.51
Sona BLW,517.40,503.00,514.75,502.25,12.50,2.49
Elgi Equipments,542.00,525.15,537.70,524.80,12.90,2.46
DOMS Industries,"2,408.00","2,350.00","2,404.45","2,347.10",57.35,2.44
PNC Infratech,317.00,301.05,312.70,305.25,7.45,2.44
CHEMPLAST SANMA,476.70,464.05,476.65,465.45,11.20,2.41
Ajanta Pharma,"2,707.05","2,627.10","2,690.90","2,627.95",62.95,2.4
Berger Paints,471.00,460.05,469.70,458.80,10.90,2.38
SUMITOMO,514.80,503.50,514.75,502.80,11.95,2.38
JK Bank,97.29,94.40,97.09,94.84,2.25,2.37
Oberoi Realty,"1,771.80","1,724.05","1,758.70","1,718.40",40.30,2.35
Bajaj Finserv,"1,856.00","1,810.60","1,832.30","1,790.40",41.90,2.34
Bajaj Finserv,"1,856.00","1,810.60","1,832.30","1,790.40",41.90,2.34
Phoenix Mills,"1,627.95","1,553.95","1,593.45","1,556.95",36.50,2.34
Himadri Special,494.95,483.30,494.05,482.80,11.25,2.33
IFCI,55.60,54.25,55.40,54.14,1.26,2.33
SJVN,93.60,91.63,93.53,91.40,2.13,2.33
Power Grid Corp,294.45,287.85,294.45,287.85,6.60,2.29
KNR Construct,299.00,292.95,296.65,290.05,6.60,2.28
Clean Science,"1,365.90","1,335.50","1,362.30","1,332.00",30.30,2.27
Motilal Oswal,687.05,655.65,685.80,670.60,15.20,2.27
Oil India,417.20,402.15,416.80,407.55,9.25,2.27
Adani Total Gas,637.95,623.30,637.95,623.85,14.10,2.26
Hindalco,598.20,586.10,597.15,584.10,13.05,2.23
HINDPETRO,352.95,346.00,352.95,345.25,7.70,2.23
TVS Supply,144.49,141.10,143.77,140.66,3.11,2.21
Vijaya Diagnost,999.90,976.50,998.50,976.95,21.55,2.21
Prestige Estate,"1,351.10","1,312.20","1,347.10","1,318.40",28.70,2.18
V-Guard Ind,368.80,356.65,365.10,357.30,7.80,2.18
Bajaj Holdings,"11,867.50","11,405.30","11,674.80","11,426.85",247.95,2.17
BEML,"3,581.30","3,501.50","3,570.70","3,494.85",75.85,2.17
Minda Corp,559.30,535.10,556.90,545.20,11.70,2.15
Amara Raja,"1,053.10","1,034.05","1,050.55","1,028.60",21.95,2.13
Finolex Ind,209.15,204.85,209.15,204.80,4.35,2.12
Zensar Tech,874.95,840.10,868.55,850.50,18.05,2.12
Radico Khaitan,"2,243.25","2,154.35","2,200.00","2,154.30",45.70,2.12
IRFC,145.40,141.85,144.72,141.73,2.99,2.11
Sobha,"1,326.60","1,277.15","1,321.65","1,294.45",27.20,2.1
Indian Renew,196.90,192.45,196.15,192.14,4.01,2.09
Hindustan Aeron,"3,782.00","3,707.05","3,777.10","3,700.50",76.60,2.07
Hindustan Aeron,"3,782.00","3,707.05","3,777.10","3,700.50",76.60,2.07
Indian Bank,560.70,546.30,556.00,544.75,11.25,2.07
JB Chemicals,"1,758.75","1,707.00","1,755.30","1,719.90",35.40,2.06
JB Chemicals,"1,758.75","1,707.00","1,755.30","1,719.90",35.40,2.06
RITES,258.60,252.20,257.40,252.20,5.20,2.06
Kalyan Jeweller,460.15,449.00,457.90,448.70,9.20,2.05
Dixon Technolog,"14,849.95","14,359.50","14,830.00","14,536.15",293.85,2.02
Abbott India,"26,088.85","25,554.65","26,018.25","25,501.85",516.40,2.02
APTUS VALUE,294.90,288.70,294.35,288.60,5.75,1.99
Coromandel Int,"1,837.55","1,790.00","1,828.50","1,792.80",35.70,1.99
Bikaji Foods,684.00,660.10,681.50,668.30,13.20,1.98
IDFC First Bank,61.18,59.46,60.99,59.82,1.17,1.96
GE Shipping,949.40,928.40,949.40,931.25,18.15,1.95
Linde India,"6,420.00","6,245.00","6,407.15","6,286.00",121.15,1.93
Chambal Fert,501.40,491.00,500.30,490.85,9.45,1.93
Jubilant Pharmo,959.50,916.00,951.85,933.90,17.95,1.92
Aurobindo Pharm,"1,183.90","1,159.60","1,178.15","1,156.15",22.00,1.9
General Insuran,414.55,404.40,412.65,404.95,7.70,1.9
Kirloskar Bros,"1,836.75","1,781.40","1,830.00","1,796.00",34.00,1.89
MMTC Ltd,68.60,67.28,68.49,67.22,1.27,1.89
NBCC (India),93.68,91.59,93.41,91.68,1.73,1.89
Supreme Ind,"3,894.55","3,790.20","3,891.55","3,819.60",71.95,1.88
IRB Infra,53.29,52.36,53.24,52.27,0.97,1.86
IRB Infra,53.29,52.36,53.24,52.27,0.97,1.86
Godrej Agrovet,727.55,715.00,726.20,713.05,13.15,1.84
Zydus Life,952.00,930.50,949.25,932.15,17.10,1.83
GSFC,205.50,202.00,204.88,201.20,3.68,1.83
Jaiprakash Pow,15.66,15.39,15.66,15.38,0.28,1.82
MRPL,129.23,127.05,128.45,126.15,2.30,1.82
Info Edge,"7,580.00","7,445.15","7,579.65","7,445.15",134.50,1.81
BASF,"4,839.60","4,701.00","4,839.60","4,754.25",85.35,1.8
GAIL,168.50,165.35,168.19,165.22,2.97,1.8
Trident,31.00,29.97,30.76,30.22,0.54,1.79
Engineers India,166.21,163.51,166.00,163.08,2.92,1.79
Gujarat Fluoro,"3,603.00","3,531.05","3,600.00","3,536.90",63.10,1.78
Campus Active,270.40,264.60,270.40,265.70,4.70,1.77
360 ONE WAM,"1,054.00","1,031.15","1,046.55","1,028.35",18.20,1.77
360 ONE WAM,"1,054.00","1,031.15","1,046.55","1,028.35",18.20,1.77
Mahindra Life,412.00,402.80,411.10,404.00,7.10,1.76
Natco Pharma,"1,194.75","1,164.10","1,191.60","1,171.00",20.60,1.76
Navin Fluorine,"3,835.05","3,758.10","3,805.60","3,740.20",65.40,1.75
Jindal Stainles,652.70,603.60,648.80,637.70,11.10,1.74
Vinati Organics,"1,655.00","1,622.45","1,650.60","1,622.45",28.15,1.74
Valor Estate,162.00,159.60,161.35,158.60,2.75,1.73
ONGC,255.80,250.94,255.74,251.40,4.34,1.73
IDBI Bank,79.40,78.08,79.12,77.80,1.32,1.7
CESC,141.00,138.00,141.00,138.65,2.35,1.69
Aarti Ind,435.40,428.40,435.10,427.90,7.20,1.68
Piramal Enter,987.00,957.05,985.80,969.70,16.10,1.66
Route,"1,238.00","1,200.35","1,222.05","1,202.25",19.80,1.65
Tube Investment,"3,271.15","3,191.00","3,252.10","3,199.45",52.65,1.65
Hind Zinc,446.10,438.80,445.50,438.30,7.20,1.64
Aegis Logistics,696.30,684.90,691.20,680.30,10.90,1.6
CDSL,"1,313.00","1,286.25","1,312.05","1,291.45",20.60,1.6
Pfizer,"4,560.95","4,494.60","4,558.50","4,486.60",71.90,1.6
Aditya Birla Re,"1,997.30","1,952.10","1,994.15","1,962.90",31.25,1.59
Ipca Labs,"1,479.30","1,454.00","1,466.30","1,443.30",23.00,1.59
Aster DM Health,485.00,476.20,484.75,477.25,7.50,1.57
Eris Life,"1,194.00","1,175.90","1,193.95","1,175.50",18.45,1.57
Anand Rathi,"3,585.75","3,530.85","3,569.95","3,515.05",54.90,1.56
Gillette India,"8,862.95","8,611.00","8,834.20","8,698.20",136.00,1.56
Network 18,52.22,51.01,52.20,51.40,0.80,1.56
Suven Pharma,"1,031.95","1,000.10","1,031.15","1,015.35",15.80,1.56
Dr Reddys Labs,"1,204.20","1,184.00","1,199.50","1,181.20",18.30,1.55
Dr Reddys Labs,"1,204.20","1,184.00","1,199.50","1,181.20",18.30,1.55
SignatureGlobal,"1,192.95","1,163.80","1,191.00","1,173.00",18.00,1.53
Bharat Elec,271.60,267.90,271.25,267.20,4.05,1.52
EIH,371.95,365.00,371.40,365.85,5.55,1.52
Global Health,"1,059.60","1,040.65","1,055.65","1,039.80",15.85,1.52
Bayer CropScien,"5,092.15","5,008.30","5,083.20","5,008.30",74.90,1.5
Emcure Pharmace,"1,224.80","1,211.30","1,224.50","1,206.55",17.95,1.49
Shipping Corp,194.44,190.91,193.90,191.08,2.82,1.48
3M India,"29,899.95","29,306.10","29,836.50","29,407.60",428.90,1.46
Data Patterns,"2,142.45","2,105.00","2,132.75","2,102.05",30.70,1.46
IOC,125.53,123.86,125.44,123.64,1.80,1.46
Redington,210.40,204.58,209.28,206.26,3.02,1.46
Chennai Petro,536.75,525.95,533.25,525.65,7.60,1.45
Zee Entertain,108.65,106.32,107.70,106.16,1.54,1.45
Cipla,"1,451.30","1,426.00","1,444.50","1,423.95",20.55,1.44
Just Dial,886.10,871.60,884.15,871.60,12.55,1.44
M&M Financial,277.50,268.60,273.90,270.00,3.90,1.44
Anant Raj,622.00,578.30,596.35,587.95,8.40,1.43
Siemens,"5,922.25","5,792.75","5,907.65","5,824.55",83.10,1.43
Atul,"6,386.50","6,280.00","6,351.85","6,263.20",88.65,1.42
Rattanindia Ent,54.48,53.11,54.27,53.51,0.76,1.42
Jindal Saw,257.00,244.60,250.30,246.80,3.50,1.42
Jindal Saw,257.00,244.60,250.30,246.80,3.50,1.42
Shree Cements,"27,167.65","26,670.00","27,024.10","26,651.35",372.75,1.4
JSW Steel,951.25,936.20,950.60,937.60,13.00,1.39
HUDCO,218.35,212.80,218.07,215.10,2.97,1.38
REC,442.45,430.15,440.85,434.85,6.00,1.38
NHPC,75.70,74.23,75.60,74.58,1.02,1.37
Welspun Corp,753.95,740.05,753.15,742.95,10.20,1.37
Container Corp,753.35,741.00,753.00,742.90,10.10,1.36
GNFC,556.10,547.05,556.00,548.55,7.45,1.36
Dr Lal PathLab,"2,807.60","2,759.00","2,796.20","2,759.00",37.20,1.35
Ashok Leyland,209.56,205.38,208.80,206.04,2.76,1.34
Biocon,362.15,353.65,360.45,355.70,4.75,1.34
Caplin Labs,"2,035.80","1,995.05","2,028.45","2,001.75",26.70,1.33
Jyoti CNC Auto,"1,090.05","1,056.25","1,087.60","1,073.35",14.25,1.33
Tata Inv Corp,"6,021.85","5,945.00","6,007.00","5,928.30",78.70,1.33
Bajaj Auto,"8,789.60","8,602.50","8,738.20","8,625.85",112.35,1.3
BLS Internation,429.75,419.50,427.90,422.40,5.50,1.3
Raymond,"1,566.45","1,501.85","1,524.50","1,504.90",19.60,1.3
IGL,396.10,388.45,395.40,390.45,4.95,1.27
BPCL,260.50,257.75,260.25,257.00,3.25,1.26
Tata Comm,"1,576.10","1,556.80","1,574.65","1,555.10",19.55,1.26
Coal India,385.35,380.40,384.15,379.45,4.70,1.24
Mazagon Dock,"2,397.35","2,331.00","2,384.35","2,355.05",29.30,1.24
Mazagon Dock,"2,397.35","2,331.00","2,384.35","2,355.05",29.30,1.24
