company_name,high,low,last_price,prev_close,change,percent_gain
PI Industries,"3,477.90","3,435.00","3,467.50","3,425.20",42.30,1.23
SAIL,105.66,104.10,105.64,104.36,1.28,1.23
TVS Motor,"2,503.60","2,439.25","2,494.95","2,464.75",30.20,1.23
ZFCVINDIA,"10,943.60","10,688.00","10,899.85","10,768.30",131.55,1.22
JK Tyre & Ind,319.75,312.15,319.10,315.30,3.80,1.21
Eicher Motors,"5,250.00","5,162.20","5,244.65","5,182.90",61.75,1.19
Gujarat Gas,475.60,468.25,475.25,469.70,5.55,1.18
Tanla Platforms,557.15,548.00,555.45,549.00,6.45,1.17
Finolex Cables,995.95,984.15,995.65,984.35,11.30,1.15
KPIL,"1,061.90","1,041.80","1,060.00","1,047.95",12.05,1.15
Angel One,"2,325.00","2,280.40","2,322.80","2,296.55",26.25,1.14
Castrol,177.49,175.81,177.49,175.49,2.00,1.14
UNO Minda,908.20,899.05,905.25,895.10,10.15,1.13
TATA Cons. Prod,975.00,959.45,971.35,960.50,10.85,1.13
Capri Global,182.95,178.31,182.15,180.13,2.02,1.12
Capri Global,182.95,178.31,182.15,180.13,2.02,1.12
United Brewerie,"2,099.90","2,064.65","2,096.35","2,073.20",23.15,1.12
NTPC,326.80,322.00,324.80,321.25,3.55,1.11
PB Fintech,"1,735.25","1,704.50","1,729.95","1,710.95",19.00,1.11
Alkem Lab,"5,069.40","4,999.05","5,059.50","5,004.30",55.20,1.1
EID Parry,833.00,809.00,829.00,820.00,9.00,1.1
Jio Financial,242.25,238.50,240.90,238.30,2.60,1.09
Adani Energy,752.90,743.35,752.75,744.70,8.05,1.08
Go Digit,302.95,298.20,302.20,299.00,3.20,1.07
SRF,"2,733.30","2,636.05","2,693.00","2,664.85",28.15,1.06
Jindal Steel,858.60,847.35,857.90,849.00,8.90,1.05
Adani Ports,"1,108.80","1,093.50","1,108.50","1,096.95",11.55,1.05
Motherson SWI,54.79,53.78,54.74,54.17,0.57,1.05
Tata Power,354.90,349.10,354.65,350.95,3.70,1.05
Bharti Hexacom,"1,363.90","1,335.00","1,356.05","1,342.15",13.90,1.04
Kajaria Ceramic,"1,014.80",990.90,"1,011.05","1,000.65",10.40,1.04
Honeywell Autom,"40,688.25","40,070.00","40,458.75","40,040.60",418.15,1.04
Action Const,"1,321.40","1,293.75","1,319.85","1,306.35",13.50,1.03
Interglobe Avi,"4,353.90","4,275.00","4,337.80","4,293.90",43.90,1.02
New India Assur,176.10,173.25,175.70,173.93,1.77,1.02
Devyani Int,169.36,167.35,169.36,167.66,1.70,1.01
Indiamart Inter,"2,108.00","2,073.55","2,097.75","2,076.70",21.05,1.01
Mah Seamless,639.75,621.00,627.20,620.90,6.30,1.01
TataTeleservice,71.65,70.80,71.55,70.84,0.71,1
Vedanta,435.25,430.60,434.85,430.60,4.25,0.99
Sun Pharma Adv,161.09,159.31,160.66,159.10,1.56,0.98
Birla Corp,"1,152.00","1,136.60","1,151.00","1,139.90",11.10,0.97
Glenmark,"1,468.85","1,447.95","1,467.70","1,453.60",14.10,0.97
Latent View,434.50,429.90,434.10,429.95,4.15,0.97
Adani Green Ene,998.00,984.40,997.00,987.65,9.35,0.95
Cera Sanitary,"6,675.30","6,515.00","6,670.00","6,607.35",62.65,0.95
Kaynes Tech,"5,067.70","4,790.15","5,001.55","4,955.45",46.10,0.93
NALCO,196.10,193.60,195.59,193.79,1.80,0.93
Divis Labs,"5,681.95","5,601.80","5,671.70","5,620.15",51.55,0.92
Max Healthcare,"1,040.10","1,018.10","1,034.35","1,025.00",9.35,0.91
Schneider Infra,666.90,656.00,665.50,659.65,5.85,0.89
Adani Enterpris,"2,339.00","2,315.00","2,338.90","2,318.60",20.30,0.88
Alok Industries,18.59,18.37,18.59,18.43,0.16,0.87
Elecon Eng,525.95,515.20,522.25,517.75,4.50,0.87
Elecon Eng,525.95,515.20,522.25,517.75,4.50,0.87
PCBL Chemical,368.00,363.50,366.65,363.50,3.15,0.87
Asahi India,642.80,631.10,641.95,636.50,5.45,0.86
Metro Brands,"1,220.00","1,203.40","1,212.55","1,202.25",10.30,0.86
Poonawalla Fin,319.30,314.90,317.60,314.90,2.70,0.86
Tata Chemicals,971.70,958.95,971.10,962.80,8.30,0.86
Hero Motocorp,"4,107.00","4,060.05","4,107.00","4,072.45",34.55,0.85
IndusInd Bank,964.30,946.10,956.35,948.30,8.05,0.85
Larsen,"3,482.00","3,439.10","3,479.10","3,449.70",29.40,0.85
CIEINDIA,457.90,450.70,456.90,453.05,3.85,0.85
Nuvoco Vistas,351.00,345.40,350.30,347.35,2.95,0.85
Astral Ltd,"1,487.60","1,474.85","1,487.20","1,474.85",12.35,0.84
Home First,984.15,964.45,978.05,969.90,8.15,0.84
Happiest Minds ,705.00,696.10,702.45,696.60,5.85,0.84
Lupin,"2,093.95","2,063.00","2,085.45","2,068.15",17.30,0.84
RHI Magnesita,475.25,468.70,473.90,469.95,3.95,0.84
Bata India,"1,277.45","1,262.85","1,273.80","1,263.50",10.30,0.82
RamkrishnaForge,783.30,764.75,781.25,774.95,6.30,0.81
Ceat,"2,960.95","2,909.15","2,955.15","2,931.75",23.40,0.8
Deepak Nitrite,"2,304.40","2,273.00","2,295.00","2,276.85",18.15,0.8
Varroc Engineer,562.70,557.65,561.95,557.50,4.45,0.8
Honasa Consumer,224.80,220.05,223.70,221.95,1.75,0.79
Quess Corp,621.90,593.30,596.45,591.75,4.70,0.79
Bank of Baroda,224.75,222.60,224.30,222.59,1.71,0.77
Tata Tech,788.95,779.00,787.40,781.40,6.00,0.77
Central Bank,51.60,50.86,51.38,50.99,0.39,0.76
Escorts Kubota,"3,565.95","3,524.30","3,560.15","3,533.95",26.20,0.74
Britannia,"5,091.25","5,034.95","5,073.75","5,037.05",36.70,0.73
Godfrey Phillip,"4,535.00","4,485.05","4,530.00","4,497.35",32.65,0.73
Balaji Amines,"1,669.00","1,654.85","1,668.70","1,656.75",11.95,0.72
Bank of Mah,50.92,50.30,50.74,50.38,0.36,0.71
Guj State Petro,345.10,338.30,342.50,340.10,2.40,0.71
LIC India,835.00,828.20,834.10,828.20,5.90,0.71
Bosch,"28,381.55","27,980.05","28,356.45","28,155.70",200.75,0.71
Swan Energy,562.50,545.55,559.60,555.70,3.90,0.7
Welspun Living,150.70,148.50,150.41,149.36,1.05,0.7
CenturyPlyboard,791.45,783.20,791.40,786.00,5.40,0.69
Graphite India,478.00,470.70,475.55,472.30,3.25,0.69
JSW Infra,279.60,273.55,278.55,276.65,1.90,0.69
Bharti Airtel,"1,619.90","1,595.20","1,611.35","1,600.45",10.90,0.68
Equitas Bank,67.88,67.07,67.73,67.27,0.46,0.68
NMDC Steel,41.90,40.92,41.65,41.37,0.28,0.68
Polycab,"5,889.90","5,800.00","5,870.10","5,830.25",39.85,0.68
UCO Bank,43.10,42.63,43.03,42.74,0.29,0.68
FSN E-Co Nykaa,172.00,168.82,171.75,170.60,1.15,0.67
HFCL,96.90,95.77,96.78,96.14,0.64,0.67
NMDC,66.21,65.38,66.20,65.76,0.44,0.67
Cummins,"2,875.45","2,831.00","2,867.60","2,848.90",18.70,0.66
Apollo Hospital,"6,840.00","6,770.35","6,828.40","6,784.30",44.10,0.65
Endurance Techn,"1,968.40","1,955.55","1,966.60","1,953.85",12.75,0.65
Firstsource Sol,350.90,341.40,348.75,346.50,2.25,0.65
Sonata,537.65,527.00,536.30,532.85,3.45,0.65
Alkyl Amines,"1,697.35","1,680.95","1,694.85","1,684.00",10.85,0.64
Can Fin Homes,674.80,667.15,671.75,667.45,4.30,0.64
IOB,50.62,49.73,50.40,50.10,0.30,0.6
Triveni Engg,404.50,397.55,401.25,398.85,2.40,0.6
Blue Dart,"6,520.00","6,380.30","6,450.05","6,412.35",37.70,0.59
Havells India,"1,544.70","1,525.50","1,537.20","1,528.20",9.00,0.59
L&T Finance,147.36,145.48,147.02,146.16,0.86,0.59
Five-Star Busin,747.65,731.75,746.00,741.70,4.30,0.58
Vodafone Idea,9.01,8.86,8.99,8.94,0.05,0.56
Union Bank,113.50,112.09,113.17,112.54,0.63,0.56
Birlasoft,537.75,528.15,534.80,531.85,2.95,0.55
Mastek,"2,521.15","2,484.15","2,510.00","2,496.20",13.80,0.55
Shriram Finance,558.00,548.10,556.55,553.50,3.05,0.55
Shriram Finance,558.00,548.10,556.55,553.50,3.05,0.55
Tata Steel,131.65,130.10,131.51,130.80,0.71,0.54
Tata Steel,131.65,130.10,131.51,130.80,0.71,0.54
CG Power ,629.75,617.45,629.00,625.75,3.25,0.52
KEI Industries,"4,049.00","4,000.00","4,037.95","4,017.05",20.90,0.52
Torrent Power,"1,485.00","1,465.00","1,482.65","1,475.05",7.60,0.52
Godawari Power,179.90,176.54,178.23,177.35,0.88,0.5
Godawari Power,179.90,176.54,178.23,177.35,0.88,0.5
RBL Bank,159.00,157.11,158.65,157.88,0.77,0.49
Rajesh Exports,191.28,187.00,190.07,189.14,0.93,0.49
Chola Fin Hold,"1,513.30","1,479.50","1,511.00","1,503.75",7.25,0.48
Yes Bank,18.96,18.71,18.90,18.81,0.09,0.48
Cello World,654.95,638.00,644.45,641.50,2.95,0.46
Kansai Nerolac,240.95,237.25,238.55,237.45,1.10,0.46
Sundram,"1,036.40",996.95,"1,001.20",996.95,4.25,0.43
Cyient,"1,372.90","1,342.70","1,371.05","1,365.35",5.70,0.42
Kotak Mahindra,"1,938.10","1,912.40","1,928.45","1,920.35",8.10,0.42
PNB,98.54,97.50,98.18,97.77,0.41,0.42
Ratnamani Metal,"2,912.65","2,862.60","2,906.95","2,894.90",12.05,0.42
SKF India,"4,050.00","4,004.05","4,036.50","4,019.45",17.05,0.42
TBO Tek,"1,617.70","1,598.60","1,609.80","1,603.10",6.70,0.42
Manappuram Fin,202.30,199.13,200.23,199.41,0.82,0.41
Marico,677.60,672.40,674.60,671.85,2.75,0.41
MRF,"112,794.90","112,045.40","112,790.55","112,334.95",455.60,0.41
KEC Intl,817.60,800.15,814.75,811.60,3.15,0.39
Krishna Inst.,611.95,605.05,610.55,608.15,2.40,0.39
Krishna Inst.,611.95,605.05,610.55,608.15,2.40,0.39
M&M,"2,944.50","2,919.00","2,935.75","2,924.35",11.40,0.39
ITI,333.00,320.00,327.00,325.75,1.25,0.38
APL Apollo,"1,535.50","1,520.05","1,527.65","1,521.95",5.70,0.37
Dabur India,523.45,519.00,520.00,518.10,1.90,0.37
Sundaram Fin,"4,436.55","4,373.50","4,418.05","4,401.75",16.30,0.37
Jyothy Labs,396.50,389.05,392.35,390.95,1.40,0.36
Trent,"5,634.00","5,557.80","5,617.00","5,597.15",19.85,0.35
Bank of India,111.45,110.25,111.20,110.82,0.38,0.34
AB Capital,177.68,175.69,177.12,176.54,0.58,0.33
Carborundum,"1,175.00","1,142.55","1,167.10","1,163.25",3.85,0.33
HCL Tech,"1,728.90","1,710.40","1,724.65","1,719.00",5.65,0.33
Lemon Tree,141.05,138.50,139.47,139.01,0.46,0.33
PNB Housing Fin,882.55,863.40,874.00,871.15,2.85,0.33
Concord Biotech,"2,069.95","2,041.65","2,058.00","2,051.55",6.45,0.31
Nestle,"2,199.00","2,180.70","2,187.55","2,180.70",6.85,0.31
Nestle,"2,199.00","2,180.70","2,187.55","2,180.70",6.85,0.31
AAVAS Financier,"1,695.70","1,688.00","1,694.75","1,689.70",5.05,0.3
Star Health,441.05,435.25,439.90,438.60,1.30,0.3
LTIMindtree,"5,920.00","5,864.25","5,899.20","5,882.75",16.45,0.28
R R Kabel,"1,250.65","1,225.65","1,248.80","1,245.40",3.40,0.27
HEG,405.00,401.35,404.85,403.80,1.05,0.26
HEG,405.00,401.35,404.85,403.80,1.05,0.26
SBFC Finance,85.96,84.88,85.88,85.66,0.22,0.26
Grasim,"2,477.60","2,446.50","2,459.80","2,453.65",6.15,0.25
HDFC Life,632.40,624.00,629.95,628.35,1.60,0.25
BSE Limited,"5,426.90","5,280.30","5,375.70","5,362.75",12.95,0.24
Bandhan Bank,151.49,149.76,150.70,150.34,0.36,0.24
Timken,"2,880.25","2,852.95","2,866.80","2,860.25",6.55,0.23
Varun Beverages,544.90,540.10,542.80,541.55,1.25,0.23
Varun Beverages,544.90,540.10,542.80,541.55,1.25,0.23
Varun Beverages,544.90,540.10,542.80,541.55,1.25,0.23
BHEL,201.55,198.67,200.30,199.86,0.44,0.22
HUL,"2,401.85","2,384.00","2,389.10","2,383.95",5.15,0.22
Aditya Birla F,269.00,266.35,268.00,267.40,0.60,0.22
GMR Airports,72.49,70.76,71.41,71.26,0.15,0.21
Indian Hotels,781.75,772.40,779.15,777.55,1.60,0.21
Shree Renuka,38.20,37.09,37.91,37.83,0.08,0.21
Sanofi India,"5,444.20","5,394.50","5,441.85","5,431.15",10.70,0.2
Vardhman Text,458.95,452.45,457.80,456.90,0.90,0.2
Tata Elxsi,"6,215.95","6,143.85","6,185.95","6,173.85",12.10,0.2
Colgate,"2,762.10","2,720.00","2,737.00","2,731.90",5.10,0.19
C. E. Info Syst,"1,657.00","1,620.50","1,650.00","1,647.05",2.95,0.18
GlaxoSmithKline,"2,009.95","1,984.45","1,987.60","1,983.95",3.65,0.18
Maruti Suzuki,"12,110.85","11,953.05","11,999.20","11,977.90",21.30,0.18
Zomato,223.45,219.30,222.90,222.50,0.40,0.18
HDFC AMC,"3,810.85","3,755.55","3,791.80","3,785.70",6.10,0.16
Reliance,"1,239.00","1,232.40","1,237.35","1,235.50",1.85,0.15
Canara Bank,92.40,91.56,92.05,91.93,0.12,0.13
Canara Bank,92.40,91.56,92.05,91.93,0.12,0.13
UltraTechCement,"11,566.05","11,465.60","11,559.40","11,544.85",14.55,0.13
ICICI Lombard ,"1,855.55","1,826.65","1,843.65","1,841.50",2.15,0.12
LIC Housing Fin,579.95,570.05,575.30,574.60,0.70,0.12
Emami,576.15,570.55,573.35,572.70,0.65,0.11
Tech Mahindra,"1,690.90","1,671.00","1,683.00","1,681.15",1.85,0.11
L&T Technology,"5,369.65","5,299.55","5,346.40","5,341.00",5.40,0.1
SBI Life Insura,"1,471.40","1,453.90","1,462.15","1,460.90",1.25,0.09
Affle India,"1,524.10","1,491.00","1,503.20","1,502.00",1.20,0.08
Asian Paints,"2,235.00","2,215.00","2,225.00","2,223.15",1.85,0.08
Adani Wilmar,264.30,262.50,264.00,263.80,0.20,0.08
Dalmia Bharat,"1,871.05","1,848.15","1,857.75","1,856.45",1.30,0.07
Sun Pharma,"1,744.05","1,730.00","1,736.35","1,735.35",1.00,0.06
Adani Power,524.50,517.65,523.00,522.75,0.25,0.05
Guj Amb Exports,119.72,117.70,119.25,119.19,0.06,0.05
Metropolis,"1,799.25","1,778.55","1,791.90","1,791.45",0.45,0.03
Pidilite Ind,"2,899.50","2,842.00","2,892.00","2,891.05",0.95,0.03
Oracle Fin Serv,"9,564.10","9,401.05","9,539.45","9,536.50",2.95,0.03
City Union Bank,175.00,171.85,173.00,172.97,0.03,0.02
Patanjali Foods,"1,863.00","1,841.10","1,852.10","1,851.80",0.30,0.02
PVR INOX,"1,090.95","1,077.05","1,084.00","1,083.90",0.10,0.01
Syngene Intl,761.45,752.60,759.45,759.35,0.10,0.01
Thermax,"3,767.65","3,705.10","3,761.25","3,760.95",0.30,0.01
